uts,artist,artist_mbid,album,album_mbid,title,track_mbid,fechahora
1315949472,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Rothbury Festival,,Say,1f2b370d-bad5-340a-9bdf-b2cac7414130,2011-09-13 23:31:12
1315354840,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Music Hall of Williamsburg,,Comfortable,03c9a3d3-41bf-39d4-bbe2-5c6604d35dc8,2011-09-07 02:20:40
1314988250,John Mayer,,Live at Comcast Center,,Where Will I Be,,2011-09-02 20:30:50
1314560099,John Mayer Trio,,Live at The Viper Room,,Bold As Love/The Wind Cries Mary,,2011-08-28 21:34:59
1314353817,PSC unkonwn,,PSC,,Scooby Doo Theme,,2011-08-26 12:16:57
1314297711,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,'Happy Holidays',aaaaa540-81f3-466a-8519-f85457723201,2011-08-25 20:41:51
1314223074,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Music Hall of Williamsburg,,Perfectly Lonely,04ece3a8-2401-4710-bdf3-ea45da8b0530,2011-08-24 23:57:54
1314216647,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,Crossroads,14bf923f-3cd8-3060-9751-10582d8947e3,2011-08-24 22:10:47
1314204049,John Mayer Trio,,Live at Webster Hall,,Feels Like Rain,,2011-08-24 18:40:49
1314148069,Los Abuelos de la Nada,,En Vivo En El Teatro Coliseo,,Bonus Track,,2011-08-24 03:07:49
1314053552,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,'I Have Had A Lot Of Sex To Your Music',f5de5e3d-c0b3-4fdc-b30d-be2faf2db355,2011-08-23 00:52:32
1314024679,坂本龍一,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,"Merry Christmas, Mr. Lawrence: Soundtrack From The Original Motion Picture",78f1b2b0-04ce-3a1f-bd2f-a4a90d70be61,The Seed,11b7e1e8-2978-3b04-a34a-4379cf966365,2011-08-22 16:51:19
1313991526,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Susquehanna Bank Center,,Crossroads,14bf923f-3cd8-3060-9751-10582d8947e3,2011-08-22 07:38:46
1313835961,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,Missing You,343ec6a1-24c2-4e93-8d94-329a42fd379d,2011-08-20 12:26:01
1313784079,Duncan Dhu,,Coleccion 1985-1998 Cd 1,,-,,2011-08-19 22:01:19
1313782932,坂本龍一,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,"Merry Christmas, Mr. Lawrence: Soundtrack From The Original Motion Picture",78f1b2b0-04ce-3a1f-bd2f-a4a90d70be61,Last Regrets,0517cd12-22ea-31fa-9d2d-28037516e889,2011-08-19 21:42:12
1313742574,Andrés Calamaro,,,,El perro (con Joaquin Sabina),,2011-08-19 10:29:34
1313674226,John Mayer Trio,,Live at Bowery Ballroom,,Wait Until Tomorrow,1dd9107d-ecb6-3f30-be24-e58ccac75af2,2011-08-18 15:30:26
1313664719,Bhajan,,,,(jagjit singh) hare krishna h,,2011-08-18 12:51:59
1313463816,Punk Ska Covers,,,,La Bamba,,2011-08-16 05:03:36
1313453693,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,'Waking Up In The Morning With A Fresh Blackberry Check',535745bf-3eed-4728-a470-3e206c887c9e,2011-08-16 02:14:53
1313144836,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Borgata Event Center,,Mercy,0b1dc406-9388-470f-80a6-bce5b99cf576,2011-08-12 12:27:16
1313143536,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Susquehanna Bank Center,,The Wind Cries Mary,0bae8142-ecae-3803-9f43-caf4af3aaed4,2011-08-12 12:05:36
1313005254,John Mayer Trio,,Live at Webster Hall,,Machine Gun / Voodoo Chile (Slight Return),,2011-08-10 21:40:54
1312925860,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,Live at Music Hall of Williamsburg,,Bigger Than My Body,01844a91-1189-389d-b96a-5bb085875eb6,2011-08-09 23:37:40
1312652180,Duncan Dhu,,Coleccion 1985-1998 Cd 1,,-,,2011-08-06 19:36:20
1312061561,John Mayer Trio,,Live at The Viper Room,,Feels Like Rain,,2011-07-30 23:32:41
1312022552,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,'Waking Up In The Morning With A Fresh Blackberry Check',535745bf-3eed-4728-a470-3e206c887c9e,2011-07-30 12:42:32
1311636424,O'Funk'illo,,Veintegenarios en Alburquerque,,Shook Me All Night Long,,2011-07-26 01:27:04
1310810318,The Chemical Brothers,,,,Chemical Brothers set,,2011-07-16 11:58:38
1310311137,Sonic Youth,5cbef01b-cc35-4f52-af7b-d0df0c4f61b9,,,Simpsons Theme,068ab913-3f3e-4d5a-a85e-38f88b643438,2011-07-10 17:18:57
1310254719,Ska Covers,,,,Star Wars,,2011-07-10 01:38:39
1310128163,PSC unkonwn,,PSC,,Scooby Doo Theme,,2011-07-08 14:29:23
1309914835,PSC unkonwn,,PSC,,Imperial March,,2011-07-06 03:13:55
1305161282,Ska Covers,,,,Star Wars,,2011-05-12 02:48:02
1304804350,Brian,,,,Cheers Theme,,2011-05-07 23:39:10
1304261082,PSC unkonwn,,PSC,,Smells Like Teen Spirit,,2011-05-01 16:44:42
1304212223,John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,On His Own Live in L.A.,,'Waking Up In The Morning With A Fresh Blackberry Check',535745bf-3eed-4728-a470-3e206c887c9e,2011-05-01 03:10:23
1304160358,Rosana,,Tristefeliz,,Accidentaly in love,,2011-04-30 12:45:58
1304030824,Brian,,,,Cheers Theme,,2011-04-29 00:47:04
1303762819,Andy Chango,,2002-Salam Alecum!,,unknow,,2011-04-25 22:20:19
1303053177,Ana Belén;Joan Manuel Serrat,,Mucho Mas Que Dos (Live In Concert),,Mediterráneo,,2011-04-17 17:12:57
1302885742,Ana Belén;Joan Manuel Serrat,,Mucho Mas Que Dos (Live In Concert),,Mediterráneo,,2011-04-15 18:42:22
1302466190,AVID All Stars,,Ultimate Hits Of The Musicals,1c2494fa-c81a-4fef-ab89-930fcf723c8e,Always Look On The Bright Side Of Life (In The Style Of Monty Python’s Spamalot),,2011-04-10 22:09:50
1301724596,Ana Belén;Joan Manuel Serrat,,Mucho Mas Que Dos (Live In Concert),,Mediterráneo,,2011-04-02 08:09:56
1301650780,Victor Manuel;Pablo Milanés,e9c8cad5-d9e2-4e64-9b4f-44cb5bc80701,Mucho Mas Que Dos (Live In Concert),,Sólo Pienso En Ti,,2011-04-01 11:39:40
1301438725,Dominique A,8ae5648d-d9b7-4083-b538-17f71672990f,La Musique,8daead06-b62e-401f-a2f6-4f88bde42242,Hasta que el cuerpo aguante,116c97af-2682-42c3-b815-8dcb8544f140,2011-03-30 00:45:25
1301397851,Ana Belén;Victor Manuel,,Mucho Mas Que Dos (Live In Concert),,Contamíname,,2011-03-29 13:24:11
1301290216,AVID All Stars,,Ultimate Hits Of The Musicals,1c2494fa-c81a-4fef-ab89-930fcf723c8e,Always Look On The Bright Side Of Life (In The Style Of Monty Python’s Spamalot),,2011-03-28 07:30:16
1301264134,Depeche Mode,,,,"Depeche Mode anoche en ""Distrito0"" para deleite de Julio que flipó en colorinchis",,2011-03-28 00:15:34
1296671836,PSC unkonwn,,PSC,,Imperial March,,2011-02-02 19:37:16
1296160673,PSC unkonwn,,PSC,,Imperial March,,2011-01-27 21:37:53
1296156832,Extremoduro,,Rock Transgresivo,3567d70c-612e-4cfd-b105-3059ef2e32e2,unedited,,2011-01-27 20:33:52
1295982006,PSC unkonwn,,PSC,,Imperial March,,2011-01-25 20:00:06
1295961584,PSC unkonwn,,PSC,,Titanic Theme,,2011-01-25 14:19:44
1295942521,PSC unkonwn,,PSC,,Imperial March,,2011-01-25 09:02:01
1295727282,PSC unkonwn,,PSC,,Titanic Theme,,2011-01-22 21:14:42
1295649181,The Box Tops,1c78ab62-db33-4433-8d0b-7c8dcf1849c2,1960-2,,The Letter,00eb1c48-8072-40f5-a071-3616a43d0ada,2011-01-21 23:33:01
1295648800,The Communards,7696c8a8-f971-4b8a-820e-b8bd922bfa57,Top 1000 Pop Hits of the 80's,,Don't Leave Me This Way,014b1470-da9e-365d-9fc7-d3890e78d5ae,2011-01-21 23:26:40
1295648517,Donna Summer,b60527cc-54f3-4bbe-a01b-dcf34c95ae14,Top 1000 Pop Hits of the 80's,,No More Tears,2cfe9dc1-9dee-4eb7-8fdb-8d460b4f03b5,2011-01-21 23:21:57
1295648054,Extremoduro,f59163ba-1a7a-4349-b0fd-fb9582ebe333,"Yo, Minoría Absoluta",,Luce la Oscuridad,30b603c3-565b-47ad-95ad-085bfbbf125b,2011-01-21 23:14:14
1295647648,Extremoduro,f59163ba-1a7a-4349-b0fd-fb9582ebe333,"Yo, Minoría Absoluta",,Cerca del Suelo,7654fa14-3ab6-3230-bf77-44aec7e1a6b8,2011-01-21 23:07:28
1295647433,Fairground Attraction,63f4a78d-009d-4579-98f6-810d15f18397,Top 1000 Pop Hits of the 80's,,Perfect,01873a44-a66a-3356-9430-a029303d233e,2011-01-21 23:03:53
1295647196,Hanson,,Middle of Nowhere,1bd57ee8-4fe8-421e-82dd-4b88399190b8,Mmm'Bop [1997],,2011-01-21 22:59:56
1295646809,Oasis,,The Early Years (Bootleg),,Don't Look Back (Acoustic Noel),,2011-01-21 22:53:29
1295646596,Brooks & Dunn,f30118c5-f783-4969-8427-f3c096378267,,,Cowgirls Don't Cry,0ba31023-767a-478a-ab81-02b7e18957b6,2011-01-21 22:49:56
1295646181,Sonata Arctica,319b1175-ced9-438f-986b-9239c3edd92d,Silence,152e6230-ea80-4672-8eee-71892b481ec2,The End of This Chapter,0af60e4f-c782-36c5-a7c6-fc0f4d2984fb,2011-01-21 22:43:01
1295645849,Stratovarius,c3d6fdd5-67c5-453e-87e3-d17a00a52879,Visions,0e14b2b2-6038-4758-a65b-1479771a23f7,Black Diamond,02f005fd-8b3e-35c6-a0b1-047d46ff4245,2011-01-21 22:37:29
1295645641,Matchbox Twenty,75af9d25-cf32-49c0-9192-60bd8e9784e6,Exile On Mainstream [Best Buy],,How Far We've Come,04525170-dffd-4072-b030-66b080a055ae,2011-01-21 22:34:01
1295645388,Anastacia,d3b2bec4-b70e-460e-b433-a865ceac2de8,Anastacia,2fdf2ed6-f0bc-46f7-8e56-1654591daaac,Left Outside Alone,0642053b-c251-4278-9b0e-94ae165f79b2,2011-01-21 22:29:48
1295645099,Stravaganzza,23304e16-a350-4306-b7eb-074e552bbbca,Hijo del miedo (19/05/2006),,Hijo de la Luna,035bddfa-2a83-4fa7-8f38-1675974922d5,2011-01-21 22:24:59
1295644797,Sinéad O'Connor,c78a77fa-507c-4c07-947a-0355029453bd,Top 1000 Pop Hits of the 80's,,Nothing Compares 2 U,00e36677-d36e-3688-8e2f-e66412075c59,2011-01-21 22:19:57
1295644589,TLC,,FanMail,058129f1-b546-4d5c-9db3-7d79641ac041,No Scrubs [1999],,2011-01-21 22:16:29
1295644069,The Jackson 5,e5257dc5-1edd-4fca-b7e6-1158e00522c8,Top 1000 Pop Hits of the 80's,,Can You Feel It,0024837f-49d7-4b17-9123-3e4d51d8966c,2011-01-21 22:07:49
1295643828,Extremoduro,f59163ba-1a7a-4349-b0fd-fb9582ebe333,Maquetas '90,bd5e731e-502c-4b2c-adf5-aa42a5c749be,Necesito Droga y Amor,79b876ea-889c-4dc4-bbe5-6439ee622f09,2011-01-21 22:03:48
1295643576,Muchachito Bombo Infierno,a059eb85-58fd-4afd-9379-84ba9f3528f4,Vamos que nos vamos,6b0c0780-d551-4378-9a60-1ede2a9ded6d,Más que Breve,bf761f8c-31c4-323a-b01c-a4bd866eeccc,2011-01-21 21:59:36
1295643285,Sabina,,Nos sobran los motivos (Eléctrico),,La del pirata cojo (live),,2011-01-21 21:54:45
1295642743,O'Funk'illo,19d80eab-8bd7-4b4b-8262-0a2ff3cce9f8,Antología,979274a9-2898-4a9a-80d4-9dda2f69cc5d,En El Campito,36d8f580-9d13-35f7-89b2-75587741b390,2011-01-21 21:45:43
1295642590,The Mighty Mighty Bosstones,779353f3-6401-4cda-a8a2-6fd3ec9bc11b,Metalliska - A Ska Tribute to 80's Metal,,Ain't Talkin' Bout Love,,2011-01-21 21:43:10
1295642406,Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Very Best of Fleetwood Mac [Australia],,Don't Stop,02daa504-b460-33cf-9d54-80b9690de1e3,2011-01-21 21:40:06
1295642153,Garbage,f9ef7a22-4262-4596-a2a8-1d19345b8e50,Garbage,06acc62d-c75f-319d-86e8-b7a6fbfc0efe,Queer,00cb7c1f-b880-4116-8921-cfe0d0c4f39b,2011-01-21 21:35:53
1295641974,PSC unkonwn,,PSC,,Titanic Theme,,2011-01-21 21:32:54
1295641973,PSC unkonwn,,PSC,,Titanic Theme,,2011-01-21 21:32:53
1295641718,Depeche Mode,8538e728-ca0b-4321-b7e5-cff6565dd4c0,,,Enjoy the Silence,00141b04-c8e6-31d9-909b-954aafb95214,2011-01-21 21:28:38
1295641520,Fulanos de tal y la mengana band,,X Concurso Pop Rock Rivasvaciamadrid,,Feo,,2011-01-21 21:25:20
1295641255,Oasis,,What's the Story Morning Glory,,Don't Look Back in Anger,00627e23-d3e1-4efb-8506-6e9fea811eaf,2011-01-21 21:20:55
1295641015,Santana,,,,Oye Como Va (con Tito Puente),,2011-01-21 21:16:55
1295640684,Sonata Arctica,319b1175-ced9-438f-986b-9239c3edd92d,Reckoning Night,28cd14bf-806e-4ed9-970c-6151b0832c9b,Blinded No More,039e9253-172b-4181-a3d8-494784d70c55,2011-01-21 21:11:24
1295639862,Extremoduro,f59163ba-1a7a-4349-b0fd-fb9582ebe333,Agila,,sucede,11df660c-7df7-4bc5-b75b-3b6b75562ef4,2011-01-21 20:57:42
1295639559,Alaska y Los Pegamoides,d7a16aab-6822-4d14-985e-8f87a2602051,"Edad de Oro del Pop Español, La",,Bailando,0398ec23-493d-363e-b875-8396195997b9,2011-01-21 20:52:39
1295639379,Duncan Dhu,60a14c16-ac69-4898-b0cd-12cb87e327c9,,,La Barra De Este Hotel,1cc40ee7-a8ba-30f8-82f8-2622b9f28cf7,2011-01-21 20:49:39
1295639144,Platero y tú,2b4b6e6b-3e93-4902-8047-fbe76225f794,"Hay Mucho Rock 'n' Roll, Vol. 2",,¿Cómo Has Perdido Tú?,889664b7-8699-3f4a-ac70-fe1071077146,2011-01-21 20:45:44
1295639030,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,"Past Masters, Vol. 1",,Matchbox,0083cb47-81a7-4cda-a77f-0f0ff6896162,2011-01-21 20:43:50
1295638814,Extremoduro,f59163ba-1a7a-4349-b0fd-fb9582ebe333,"Yo, Minoría Absoluta",,Hoy te la meto hasta las orejas,075ba87f-f207-33a3-b378-c28e99271464,2011-01-21 20:40:14
1295638483,La Bouche,,Sweet Dreams,046f429f-10bd-4445-9ac5-9feb40b83069,Be My Lover [1996],,2011-01-21 20:34:43
1295638128,Depeche Mode,8538e728-ca0b-4321-b7e5-cff6565dd4c0,Ultra,044f952b-7322-33a6-9167-c45530a7468c,It's No Good,01229b1d-6a73-417e-9e3a-65a92bd86cb0,2011-01-21 20:28:48
1295637942,Café Tacvba,c2b37a39-c66a-44b2-b190-a69485ae5d95,Caracter Latino 1,,No Controles,07258a36-59f6-4dfe-9ed3-ed88084920cb,2011-01-21 20:25:42
1295637728,La Fuga,2aaf62d2-0018-4a34-a4c9-a03820febd6c,Negociando Gasolina,2d554b56-5c5b-4602-a22b-bcdac26980e1,Amor de contenedor,3f77404c-c93f-4749-8acc-7e9cc0050a36,2011-01-21 20:22:08
1295637592,Neil Sedaka,577d92bd-32ac-48b6-86df-4db6b0b52fbf,BILLBOARD    Top Rock 'n' Roll Hits -1962,,Breaking up Is Hard to Do,0014d8b4-286e-3d22-b7e2-752bce23adda,2011-01-21 20:19:52
1295637288,Platero y tú,2b4b6e6b-3e93-4902-8047-fbe76225f794,Muy deficiente,7a0fb484-16ac-4ee5-a68c-c2bffef87084,Desertor,822c9b00-50fb-3b4c-81ec-f864c25ed216,2011-01-21 20:14:48
1295637019,The Chemical Brothers,1946a82a-f927-40c2-8235-38d64f50d043,,,Hey Boy Hey Girl,00b639aa-ebfb-39d1-9108-054bc11c09eb,2011-01-21 20:10:19
1295636786,Toby Keith,2f951906-5629-4fef-a260-5033151c162a,Country varios,,I Love This Bar,09d59b44-3963-4338-8f68-a67342eaa931,2011-01-21 20:06:26
1295636442,Kortatu,74241690-77b4-4ce7-8237-9f71a14f50b7,Kortatu,457c7a51-a8f3-4198-b0c9-f84b9952cc17,Sarri sarri,17db8fd4-65d7-3938-bff9-82247ce661ba,2011-01-21 20:00:42
1295636285,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Anthology 2,04415eb9-8d8b-44e6-bdb0-8ef7931ae5db,Yesterday,00ccfaac-4163-44c6-a921-c49c334d3d8f,2011-01-21 19:58:05
1295636035,Khaled,,,,Aisha (Original Version),,2011-01-21 19:53:55
1295635684,The Verve,d4d17620-fd97-4574-92a8-a2cb7e72ce42,Urban Hymns,072f2f54-ba3e-4681-af2f-3374993efc99,Bitter Sweet Symphony,02ae516c-e6fa-3092-b01c-009ad28243b4,2011-01-21 19:48:04
1295564703,PSC unkonwn,,PSC,,Scooby Doo Theme,,2011-01-21 00:05:03
1295006908,Sonata Arctica,,Ecliptica Re-issue,,I Wanna Be Your Dog,,2011-01-14 13:08:28
1295000429,PSC unkonwn,,PSC,,Imperial March,,2011-01-14 11:20:29
1294441279,Platero y tú,,"Hay Mucho Rock 'n' Roll, Vol. 2",,EVERY LITTLE THING SHE DOES IS MAGIC,,2011-01-08 00:01:19
1294101974,PSC unkonwn,,PSC,,You are beautiful,,2011-01-04 01:46:14
1293919788,PSC unkonwn,,PSC,,Imperial March,,2011-01-01 23:09:48
1292906148,Unkown,,,,Música irlandesa con ladridos d perro,,2010-12-21 05:35:48
1292860387,PSC unkonwn,,PSC,,BSO El Padrino (Tema Principal),,2010-12-20 16:53:07
1292809027,Animals,,,,City of Gold,,2010-12-20 02:37:07
1292764109,PSC unkonwn,,PSC,,I will survive,,2010-12-19 14:08:29
1292763868,PSC unkonwn,,PSC,,Tainted Love,,2010-12-19 14:04:28
1292763524,PSC unkonwn,,PSC,,I Want It That Way,,2010-12-19 13:58:44
1291755524,B105,,"Labrat, Camilla and Stav Guests",,Matchbox 20,,2010-12-07 21:58:44
